id,name,numberofquestion,createdAt,updatedAt,nameEx,threshold,IDrank,showsubject,timeFinish,id,IDSubject,code,createdAt,updatedAt,id,IDTest,IDQuestion,createdAt,updatedAt,numberquestion,IDsubject,order
3,"Nghiệp vụ vận tải",10,NULL,"2025-01-09 22:37:54",NVVT,5,1,1,6,275,3,DeSo-5,"2025-01-09 22:37:54","2025-01-09 22:37:54",3466,275,787,"2025-01-09 22:37:54","2025-01-09 22:37:54",6,3,NULL
3,"Nghiệp vụ vận tải",10,NULL,"2025-01-09 22:37:54",NVVT,5,1,1,6,275,3,DeSo-5,"2025-01-09 22:37:54","2025-01-09 22:37:54",3465,275,786,"2025-01-09 22:37:54","2025-01-09 22:37:54",5,3,NULL
3,"Nghiệp vụ vận tải",10,NULL,"2025-01-09 22:37:54",NVVT,5,1,1,6,275,3,DeSo-5,"2025-01-09 22:37:54","2025-01-09 22:37:54",3464,275,785,"2025-01-09 22:37:54","2025-01-09 22:37:54",4,3,NULL
3,"Nghiệp vụ vận tải",10,NULL,"2025-01-09 22:37:54",NVVT,5,1,1,6,275,3,DeSo-5,"2025-01-09 22:37:54","2025-01-09 22:37:54",3463,275,784,"2025-01-09 22:37:54","2025-01-09 22:37:54",3,3,NULL
3,"Nghiệp vụ vận tải",10,NULL,"2025-01-09 22:37:54",NVVT,5,1,1,6,275,3,DeSo-5,"2025-01-09 22:37:54","2025-01-09 22:37:54",3462,275,783,"2025-01-09 22:37:54","2025-01-09 22:37:54",2,3,NULL
3,"Nghiệp vụ vận tải",10,NULL,"2025-01-09 22:37:54",NVVT,5,1,1,6,275,3,DeSo-5,"2025-01-09 22:37:54","2025-01-09 22:37:54",3461,275,782,"2025-01-09 22:37:54","2025-01-09 22:37:54",1,3,NULL
3,"Nghiệp vụ vận tải",10,NULL,"2025-01-09 22:37:54",NVVT,5,1,1,6,276,3,DeSo-6,"2025-01-09 22:37:54","2025-01-09 22:37:54",3480,276,790,"2025-01-09 22:37:54","2025-01-09 22:37:54",10,3,NULL
3,"Nghiệp vụ vận tải",10,NULL,"2025-01-09 22:37:54",NVVT,5,1,1,6,276,3,DeSo-6,"2025-01-09 22:37:54","2025-01-09 22:37:54",3479,276,778,"2025-01-09 22:37:54","2025-01-09 22:37:54",9,3,NULL
3,"Nghiệp vụ vận tải",10,NULL,"2025-01-09 22:37:54",NVVT,5,1,1,6,276,3,DeSo-6,"2025-01-09 22:37:54","2025-01-09 22:37:54",3478,276,777,"2025-01-09 22:37:54","2025-01-09 22:37:54",8,3,NULL
3,"Nghiệp vụ vận tải",10,NULL,"2025-01-09 22:37:54",NVVT,5,1,1,6,276,3,DeSo-6,"2025-01-09 22:37:54","2025-01-09 22:37:54",3477,276,776,"2025-01-09 22:37:54","2025-01-09 22:37:54",7,3,NULL
3,"Nghiệp vụ vận tải",10,NULL,"2025-01-09 22:37:54",NVVT,5,1,1,6,276,3,DeSo-6,"2025-01-09 22:37:54","2025-01-09 22:37:54",3476,276,775,"2025-01-09 22:37:54","2025-01-09 22:37:54",6,3,NULL
3,"Nghiệp vụ vận tải",10,NULL,"2025-01-09 22:37:54",NVVT,5,1,1,6,276,3,DeSo-6,"2025-01-09 22:37:54","2025-01-09 22:37:54",3475,276,774,"2025-01-09 22:37:54","2025-01-09 22:37:54",5,3,NULL
3,"Nghiệp vụ vận tải",10,NULL,"2025-01-09 22:37:54",NVVT,5,1,1,6,276,3,DeSo-6,"2025-01-09 22:37:54","2025-01-09 22:37:54",3474,276,773,"2025-01-09 22:37:54","2025-01-09 22:37:54",4,3,NULL
3,"Nghiệp vụ vận tải",10,NULL,"2025-01-09 22:37:54",NVVT,5,1,1,6,276,3,DeSo-6,"2025-01-09 22:37:54","2025-01-09 22:37:54",3473,276,772,"2025-01-09 22:37:54","2025-01-09 22:37:54",3,3,NULL
